feature,channel,fold,accuracy,balanced_accuracy,auc,samples
pMP,1,1,0.5,0.5,0.56,47
pMP,1,2,0.5,0.5,0.56,47
pMP,1,3,0.4444444444444444,0.5,0.6,47
pMP,1,4,0.4444444444444444,0.4,0.55,47
pMP,1,5,0.4444444444444444,0.5,0.44999999999999996,47
pMP,2,1,0.5,0.5,0.52,47
pMP,2,2,0.5,0.5,0.28,47
pMP,2,3,0.4444444444444444,0.5,0.5499999999999999,47
pMP,2,4,0.4444444444444444,0.4,0.75,47
pMP,2,5,0.4444444444444444,0.5,0.5,47
pMP,3,1,0.3,0.3,0.48000000000000004,47
pMP,3,2,0.4,0.4,0.36,47
pMP,3,3,0.4444444444444444,0.5,0.6,47
pMP,3,4,0.4444444444444444,0.4,0.5,47
pMP,3,5,0.6666666666666666,0.625,0.39999999999999997,47
pMP,4,1,0.5,0.5,0.44000000000000006,47
pMP,4,2,0.7,0.7,0.44000000000000006,47
pMP,4,3,0.4444444444444444,0.5,0.6,47
pMP,4,4,0.4444444444444444,0.4,0.4,47
pMP,4,5,0.5555555555555556,0.5,0.55,47
pMP,5,1,0.5,0.5,0.44000000000000006,47
pMP,5,2,0.5,0.5,0.32,47
pMP,5,3,0.5555555555555556,0.6,0.6,47
pMP,5,4,0.4444444444444444,0.4,0.35,47
pMP,5,5,0.5555555555555556,0.5,0.6,47
pMP,6,1,0.4,0.4,0.48,47
pMP,6,2,0.7,0.7,0.32,47
pMP,6,3,0.3333333333333333,0.325,0.5,47
pMP,6,4,0.4444444444444444,0.4,0.7,47
pMP,6,5,0.6666666666666666,0.625,0.45,47
pMP,7,1,0.5,0.5,0.28,47
pMP,7,2,0.5,0.5,0.7200000000000001,47
pMP,7,3,0.2222222222222222,0.225,0.65,47
pMP,7,4,0.4444444444444444,0.4,0.30000000000000004,47
pMP,7,5,0.5555555555555556,0.5,0.44999999999999996,47
pMP,8,1,0.4,0.4,0.4,47
pMP,8,2,0.4,0.4,0.76,47
pMP,8,3,0.4444444444444444,0.5,0.25,47
pMP,8,4,0.5555555555555556,0.6,0.25,47
pMP,8,5,0.4444444444444444,0.5,0.525,47
pMP,9,1,0.5,0.5,0.4800000000000001,47
pMP,9,2,0.5,0.5,0.36,47
pMP,9,3,0.4444444444444444,0.5,0.65,47
pMP,9,4,0.4444444444444444,0.4,0.55,47
pMP,9,5,0.5555555555555556,0.5,0.35,47
pMP,10,1,0.4,0.4,0.4,47
pMP,10,2,0.5,0.5,0.64,47
pMP,10,3,0.4444444444444444,0.5,0.6,47
pMP,10,4,0.4444444444444444,0.4,0.45,47
pMP,10,5,0.5555555555555556,0.5,0.6000000000000001,47
pMP,11,1,0.5,0.5,0.44000000000000006,47
pMP,11,2,0.6,0.6000000000000001,0.32,47
