feature,channel,n_subjects,n_class0,n_class1,accuracy_loo
pMP,1,47,23,24,0.02127659574468085
pMP,2,47,23,24,0.02127659574468085
pMP,3,47,23,24,0.3829787234042553
pMP,4,47,23,24,0.44680851063829785
pMP,5,47,23,24,0.48936170212765956
pMP,6,47,23,24,0.48936170212765956
pMP,7,47,23,24,0.44680851063829785
pMP,8,47,23,24,0.0425531914893617
pMP,9,47,23,24,0.48936170212765956
pMP,10,47,23,24,0.3829787234042553
pMP,11,47,23,24,0.3829787234042553
pMP,12,47,23,24,0.44680851063829785
pMP,13,47,23,24,0.425531914893617
pMP,14,47,23,24,0.02127659574468085
pMP,15,47,23,24,0.5106382978723404
pMP,16,47,23,24,0.3617021276595745
pMP,17,47,23,24,0.5106382978723404
pMP,18,47,23,24,0.0425531914893617
pMP,19,47,23,24,0.46808510638297873
pMP,20,47,23,24,0.44680851063829785
pMP,21,47,23,24,0.02127659574468085
pMP,22,47,23,24,0.5106382978723404
pMP,23,47,23,24,0.48936170212765956
pMP,24,47,23,24,0.46808510638297873
pMP,25,47,23,24,0.0425531914893617
pMP,26,47,23,24,0.3191489361702128
pMP,27,47,23,24,0.44680851063829785
pMP,28,47,23,24,0.48936170212765956
pMP,29,47,23,24,0.44680851063829785
pMP,30,47,23,24,0.5319148936170213
pMP,31,47,23,24,0.5531914893617021
pMP,32,47,23,24,0.0
pMP,33,47,23,24,0.14893617021276595
pMP,34,47,23,24,0.46808510638297873
pMP,35,47,23,24,0.46808510638297873
pMP,36,47,23,24,0.5106382978723404
pMP,37,47,23,24,0.5531914893617021
pMP,38,47,23,24,0.0
pMP,39,47,23,24,0.48936170212765956
pMP,40,47,23,24,0.3617021276595745
pMP,41,47,23,24,0.574468085106383
pMP,42,47,23,24,0.5319148936170213
pMP,43,47,23,24,0.0425531914893617
pMP,44,47,23,24,0.0
pMP,45,47,23,24,0.44680851063829785
pMP,46,47,23,24,0.5319148936170213
pMP,47,47,23,24,0.3404255319148936
pMP,48,47,23,24,0.0
pMP,49,47,23,24,0.0
pMP,50,47,23,24,0.5531914893617021
pMP,51,47,23,24,0.5957446808510638
pMP,52,47,23,24,0.48936170212765956
pMP,53,47,23,24,0.574468085106383
pMP,54,47,23,24,0.574468085106383
pMP,55,47,23,24,0.5319148936170213
pMP,56,47,23,24,0.5531914893617021
pMP,57,47,23,24,0.5319148936170213
pMP,58,47,23,24,0.5106382978723404
pMP,59,47,23,24,0.5106382978723404
pMP,60,47,23,24,0.6170212765957447
pMP,61,47,23,24,0.5957446808510638
pMP,62,47,23,24,0.44680851063829785
pMP,63,47,23,24,0.5957446808510638
pMP,64,47,23,24,0.5319148936170213
pMP,65,47,23,24,0.46808510638297873
pMP,66,47,23,24,0.5106382978723404
pMP,67,47,23,24,0.46808510638297873
pMP,68,47,23,24,0.46808510638297873
pMP,69,47,23,24,0.3617021276595745
pMP,70,47,23,24,0.40425531914893614
pMP,71,47,23,24,0.5106382978723404
pMP,72,47,23,24,0.5106382978723404
pMP,73,47,23,24,0.5106382978723404
pMP,74,47,23,24,0.425531914893617
pMP,75,47,23,24,0.425531914893617
pMP,76,47,23,24,0.46808510638297873
pMP,77,47,23,24,0.46808510638297873
pMP,78,47,23,24,0.3617021276595745
pMP,79,47,23,24,0.2765957446808511
pMP,80,47,23,24,0.5531914893617021
pMP,81,47,23,24,0.5106382978723404
pMP,82,47,23,24,0.5106382978723404
pMP,83,47,23,24,0.5106382978723404
pMP,84,47,23,24,0.5319148936170213
pMP,85,47,23,24,0.5319148936170213
pMP,86,47,23,24,0.0
pMP,87,47,23,24,0.48936170212765956
pMP,88,47,23,24,0.5106382978723404
pMP,89,47,23,24,0.5531914893617021
pMP,90,47,23,24,0.5319148936170213
pMP,91,47,23,24,0.48936170212765956
pMP,92,47,23,24,0.02127659574468085
pMP,93,47,23,24,0.0
pMP,94,47,23,24,0.0
pMP,95,47,23,24,0.46808510638297873
pMP,96,47,23,24,0.40425531914893614
pMP,97,47,23,24,0.06382978723404255
pMP,98,47,23,24,0.0
pMP,99,47,23,24,0.3829787234042553
pMP,100,47,23,24,0.3191489361702128
pMP,101,47,23,24,0.2765957446808511
pMP,102,47,23,24,0.02127659574468085
pMP,103,47,23,24,0.0
pMP,104,47,23,24,0.40425531914893614
pMP,105,47,23,24,0.46808510638297873
pMP,106,47,23,24,0.40425531914893614
pMP,107,47,23,24,0.44680851063829785
pMP,108,47,23,24,0.0
pMP,109,47,23,24,0.40425531914893614
pMP,110,47,23,24,0.14893617021276595
pMP,111,47,23,24,0.44680851063829785
pMP,112,47,23,24,0.425531914893617
pMP,113,47,23,24,0.02127659574468085
pMP,114,47,23,24,0.0
pMP,115,47,23,24,0.3191489361702128
pMP,116,47,23,24,0.0425531914893617
pMP,117,47,23,24,0.425531914893617
pMP,118,47,23,24,0.44680851063829785
pMP,119,47,23,24,0.3829787234042553
pMP,120,47,23,24,0.0
pMP,121,47,23,24,0.0
pMP,122,47,23,24,0.425531914893617
pMP,123,47,23,24,0.40425531914893614
pMP,124,47,23,24,0.40425531914893614
pMP,125,47,23,24,0.0
pMP,126,47,23,24,0.02127659574468085
pMP,127,47,23,24,0.48936170212765956
pMP,128,47,23,24,0.0
HFD,1,47,23,24,0.1702127659574468
HFD,2,47,23,24,0.23404255319148937
HFD,3,47,23,24,0.1702127659574468
HFD,4,47,23,24,0.0
HFD,5,47,23,24,0.2765957446808511
HFD,6,47,23,24,0.2553191489361702
HFD,7,47,23,24,0.2553191489361702
HFD,8,47,23,24,0.5106382978723404
HFD,9,47,23,24,0.23404255319148937
HFD,10,47,23,24,0.14893617021276595
HFD,11,47,23,24,0.23404255319148937
HFD,12,47,23,24,0.2553191489361702
HFD,13,47,23,24,0.2127659574468085
HFD,14,47,23,24,0.02127659574468085
HFD,15,47,23,24,0.48936170212765956
HFD,16,47,23,24,0.10638297872340426
HFD,17,47,23,24,0.0
HFD,18,47,23,24,0.0
HFD,19,47,23,24,0.02127659574468085
HFD,20,47,23,24,0.02127659574468085
HFD,21,47,23,24,0.425531914893617
HFD,22,47,23,24,0.5106382978723404
HFD,23,47,23,24,0.40425531914893614
HFD,24,47,23,24,0.06382978723404255
HFD,25,47,23,24,0.19148936170212766
HFD,26,47,23,24,0.10638297872340426
HFD,27,47,23,24,0.19148936170212766
HFD,28,47,23,24,0.23404255319148937
HFD,29,47,23,24,0.2553191489361702
HFD,30,47,23,24,0.23404255319148937
HFD,31,47,23,24,0.5106382978723404
HFD,32,47,23,24,0.2978723404255319
HFD,33,47,23,24,0.0851063829787234
HFD,34,47,23,24,0.48936170212765956
HFD,35,47,23,24,0.5531914893617021
HFD,36,47,23,24,0.5319148936170213
HFD,37,47,23,24,0.44680851063829785
HFD,38,47,23,24,0.2978723404255319
HFD,39,47,23,24,0.0851063829787234
HFD,40,47,23,24,0.5531914893617021
HFD,41,47,23,24,0.1702127659574468
HFD,42,47,23,24,0.46808510638297873
HFD,43,47,23,24,0.5106382978723404
HFD,44,47,23,24,0.3617021276595745
HFD,45,47,23,24,0.10638297872340426
HFD,46,47,23,24,0.19148936170212766
HFD,47,47,23,24,0.1702127659574468
HFD,48,47,23,24,0.19148936170212766
HFD,49,47,23,24,0.44680851063829785
HFD,50,47,23,24,0.2978723404255319
HFD,51,47,23,24,0.48936170212765956
HFD,52,47,23,24,0.23404255319148937
HFD,53,47,23,24,0.46808510638297873
HFD,54,47,23,24,0.40425531914893614
HFD,55,47,23,24,0.40425531914893614
HFD,56,47,23,24,0.1276595744680851
HFD,57,47,23,24,0.40425531914893614
HFD,58,47,23,24,0.5106382978723404
HFD,59,47,23,24,0.5106382978723404
HFD,60,47,23,24,0.5319148936170213
HFD,61,47,23,24,0.44680851063829785
HFD,62,47,23,24,0.5106382978723404
HFD,63,47,23,24,0.19148936170212766
HFD,64,47,23,24,0.40425531914893614
HFD,65,47,23,24,0.3404255319148936
HFD,66,47,23,24,0.3829787234042553
HFD,67,47,23,24,0.46808510638297873
HFD,68,47,23,24,0.44680851063829785
HFD,69,47,23,24,0.44680851063829785
HFD,70,47,23,24,0.2553191489361702
HFD,71,47,23,24,0.2127659574468085
HFD,72,47,23,24,0.425531914893617
HFD,73,47,23,24,0.5531914893617021
HFD,74,47,23,24,0.48936170212765956
HFD,75,47,23,24,0.1702127659574468
HFD,76,47,23,24,0.2127659574468085
HFD,77,47,23,24,0.2978723404255319
HFD,78,47,23,24,0.19148936170212766
HFD,79,47,23,24,0.14893617021276595
HFD,80,47,23,24,0.2765957446808511
HFD,81,47,23,24,0.5531914893617021
HFD,82,47,23,24,0.44680851063829785
HFD,83,47,23,24,0.2127659574468085
