channel,pMP_U,pMP_p,pMP_AUC,pMP_median_control,pMP_median_MDD,pMP_n_control,pMP_n_MDD,HFD_U,HFD_p,HFD_AUC,HFD_median_control,HFD_median_MDD,HFD_n_control,HFD_n_MDD,pMP_pBonf,pMP_sig_p<0.05,pMP_sig_pBonf<0.05,pMP_sig_frontier,HFD_pBonf,HFD_sig_p<0.05,HFD_sig_pBonf<0.05,HFD_sig_frontier
1,288.0,0.8066606559445169,0.5217391304347826,18.964377319620745,18.959640732849,24,23,270.0,0.9068221962682691,0.4891304347826087,0.5362589426951534,0.5455803476480665,24,23,30.710781480608016,False,False,False,34.551740372517486,False,False,False
2,291.0,0.7576406619373144,0.5271739130434783,18.90511459472389,18.829396675063904,24,23,287.0,0.8231815274918841,0.519927536231884,0.5527431434611569,0.5584795160165881,24,23,30.848490203287422,False,False,False,30.33879806443847,False,False,False
3,308.0,0.5026254477381114,0.5579710144927537,18.872436176049238,18.596943258316163,24,23,266.0,0.8397811470865129,0.48188405797101447,0.5705705986376239,0.577755589675268,24,23,31.665403207501015,False,False,False,9.06822196268269,False,False,False
4,301.0,0.6020918949814629,0.5452898550724637,18.701059624121392,18.62351757647442,24,23,273.0,0.9575697405400247,0.4945652173913043,0.5605283602210196,0.5807027159305556,24,23,31.4933643654037,False,False,False,15.640449022345798,False,False,False
5,314.0,0.4248397357489112,0.5688405797101449,18.6020098807443,18.26652203888569,24,23,253.0,0.6320582930091349,0.4583333333333333,0.5451436083980975,0.5726959342402345,24,23,31.93468465308278,False,False,False,36.18903223714402,False,False,False
6,323.0,0.32237665407895655,0.5851449275362319,18.557889015007863,18.217978049861895,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5417868366622309,0.5549204147955413,24,23,31.162777759762903,False,False,False,37.6529399418112,False,False,False
7,321.0,0.3436271148554936,0.5815217391304348,18.572273566538563,18.26226919403173,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5445175079692116,0.5476924136581067,24,23,31.30259963727565,False,False,False,37.810736481653095,False,False,False
8,253.0,0.6320582930091349,0.4583333333333333,18.668941914175676,18.79491047284578,24,23,341.0,0.16986082052303642,0.6177536231884058,0.4911438345168625,0.4581302787550755,24,23,30.322037411233232,False,False,False,33.70464301813769,False,False,False
9,299.0,0.6320582930091349,0.5416666666666666,18.918182130827574,18.669939057397343,24,23,299.0,0.6320582930091349,0.5416666666666666,0.5554652966914739,0.549543376307656,24,23,30.442802506145224,False,False,False,11.133880397951263,False,False,False
10,300.0,0.6169953637949551,0.5434782608695652,18.79420919557939,18.47127059775705,24,23,254.0,0.6472754956287547,0.4601449275362319,0.5635379039679268,0.5761587767297435,24,23,31.496844933027386,False,False,False,16.834095316813617,False,False,False
11,306.0,0.5301338579431278,0.5543478260869565,18.74460644705589,18.36577753855037,24,23,251.0,0.6020918949814629,0.45471014492753625,0.5415929725097055,0.5697356787208427,24,23,31.86298018116834,False,False,False,8.161399766414421,False,False,False
12,314.0,0.4248397357489112,0.5688405797101449,18.580670502022024,18.29420457692009,24,23,249.0,0.5727830892082293,0.45108695652173914,0.5396144694026271,0.5645922784660129,24,23,32.396754788256736,False,False,False,36.197818508635066,False,False,False
13,320.0,0.35458034716422326,0.5797101449275363,18.572708095101873,18.22087279912415,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5443030407816546,0.554420280393854,24,23,30.239186107283434,False,False,False,33.39256299019197,False,False,False
14,279.0,0.9575697405400247,0.5054347826086957,18.846247313577084,18.755647832838704,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5317510472714266,0.5491657599663355,24,23,27.76479137077298,False,False,False,36.686978218211216,False,False,False
15,279.0,0.9575697405400247,0.5054347826086957,18.90349410964647,18.59243576006016,24,23,284.0,0.8731878288255717,0.5144927536231884,0.559753944669309,0.5488104350292092,24,23,29.933293341858445,False,False,False,16.939873774834854,False,False,False
16,290.0,0.7738833276987518,0.5253623188405797,18.768039922439343,18.399337578355865,24,23,270.0,0.9068221962682691,0.4891304347826087,0.5430371855827725,0.5595720621937891,24,23,31.471863136371436,False,False,False,38.37139497746162,False,False,False
17,281.0,0.9237061355849945,0.5090579710144928,18.835324428887425,18.64492097010837,24,23,264.0,0.8066606559445169,0.4782608695652174,0.5400288194505025,0.5539400473704037,24,23,31.946799860642063,False,False,False,33.93474500872253,False,False,False
18,283.0,0.8899802599450805,0.5126811594202898,18.681021973159407,18.514756862665276,24,23,294.0,0.7095766425318525,0.532608695652174,0.5573297146174385,0.553951636805024,24,23,29.658652175264002,False,False,False,34.59107233577128,False,False,False
19,303.0,0.5727830892082293,0.5489130434782609,18.70084882904453,18.395590060845297,24,23,265.0,0.8231815274918841,0.48007246376811596,0.5517607540607541,0.5700300155736362,24,23,29.98102882934296,False,False,False,35.3710058619683,False,False,False
20,311.0,0.46282151671134464,0.5634057971014492,18.652551254889943,18.40688837192763,24,23,282.0,0.9068221962682691,0.5108695652173914,0.5616745763680553,0.5789284403789872,24,23,29.594517124011073,False,False,False,21.336091299424442,False,False,False
21,295.0,0.693798003649465,0.5344202898550725,18.912545840304745,18.640276930538487,24,23,346.0,0.13912475468441005,0.6268115942028986,0.5519560956860631,0.5302885896419792,24,23,29.036130008463694,False,False,False,12.347722912378261,False,False,False
22,290.0,0.7738833276987518,0.5253623188405797,18.746884662021323,18.63289231644476,24,23,334.0,0.221072490664723,0.605072463768116,0.5646514968256596,0.5277930234305279,24,23,27.810564892401935,False,False,False,7.254577570146153,False,False,False
